Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Al Quaa Galaxy Tee,al-quaa-galaxy-tee,"The Milky Way as it rises over Al Quaa, the only Bortle 1, darkest sky in the Emirates. A subtle sahra mark on the chest, the galaxy across the back. Heavyweight organic cotton.",Sahra & Beyond,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,T-Shirt,"place:Al Quaa, placeurl:al-quaa-desert, theme:#181109, dark",TRUE,Active,SB-ALQ-S-REG,,Size,S,,Fit,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,https://www.sahraandbeyond.ae/shirts/design-black-front.jpg,1,Al Quaa Galaxy Tee — front,,FALSE,Al Quaa Galaxy Tee | Sahra & Beyond,"Heavyweight organic-cotton tee inspired by the Milky Way over Al Quaa, the darkest sky in the Emirates. Regular & oversized fits.",black,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,,,,New,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-S-OVR,,,S,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,https://www.sahraandbeyond.ae/shirts/design-black-back.jpg,2,Al Quaa Galaxy Tee — back,,FALSE,,,,,,,,,,,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-M-REG,,,M,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-M-OVR,,,M,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-L-REG,,,L,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-L-OVR,,,L,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-XL-REG,,,XL,,,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,al-quaa-galaxy-tee,,,,,,,,SB-ALQ-XL-OVR,,,XL,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Liwa Dune Tee,liwa-dune-tee,"A tonal embroidered sun setting over the dune ridges of Liwa, with sahra beneath. Soft, heavyweight organic cotton.",Sahra & Beyond,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,T-Shirt,"place:Liwa, placeurl:liwa, theme:#E7D6B8",TRUE,Active,SB-LIW-S-REG,,Size,S,,Fit,Regular,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,https://www.sahraandbeyond.ae/shirts/design-beige-front.jpg,1,Liwa Dune Tee — front,,FALSE,Liwa Dune Tee | Sahra & Beyond,Soft heavyweight organic-cotton tee with a tonal embroidered sun over the dunes of Liwa. Regular & oversized fits.,beige,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,,,,New,,,,,,
,liwa-dune-tee,,,,,,,,SB-LIW-S-OVR,,,S,,,Oversized,,,,,149,,,TRUE,,,,,,shopify,25,DENY,220,g,TRUE,manual,https://www.sahraandbeyond.ae/shirts/design-beige-back.jpg,2,Liwa Dune Tee — back,,FALSE,,,,,,,,,,,,,,,,
